job_eng,job_spa,_id,bundle
Oil and filter,Cambiar aceite y filtro,0,_2month
Air filter,Cambiar filtro de aire,1,_2month
Radiator cleanout,Limpiar radiador,2,_2month
Tire rotation & checkup,Rotar y revisar llantas,3,_2month
Cabin air filter,Filtro de aire de cabina,4,_2month
Battery checkup,Revisar bateria,5,_2month
Lights/blinkers checkup,Revisar senales y luces,6,_2month
Brake checkup,Revisar frenos,7,_4month
Suspension checkup,Revisar suspension,8,_4month
Spark plugs checkup,Revisar bujillas,9,_4month
Wiper fluid,Llenar limpiaparabrisas,10,_4month
Clean inside windshield,Limpiar interior parabrisas,11,_4month
Transmission fluid,Cambiar liquido de transmision,12,_4month
Brake fluid (& clutch),Cambiar liquido de frenos (y clutch),13,_12month
Coolant,Cambiar anticongelante,14,_12month
Differential fluid,Cambiar liquido del diferencial,15,_12month
Compressor motor,Revisar motor del compresor,16,_shop4month
Lift motor,Revisar motor del elevador,17,_shop4month
Lift safety catches,Revisar seguros del elevador,18,_shop4month
Lift grease,Aplicar grasa al elevador,19,_shop4month
Compressor valves,Valvulas del compresor,20,_shop4month
Lift hydraulics,Revisar hidraulica del elevador,21,_shop4month
